id,location,date,new_cases,new_deaths,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_thousand
214,Algeria,2020-02-18,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
215,Algeria,2020-02-19,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
216,Algeria,2020-02-20,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
217,Algeria,2020-02-21,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
218,Algeria,2020-02-22,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
219,Algeria,2020-02-23,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
220,Algeria,2020-02-24,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
221,Algeria,2020-02-25,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
222,Algeria,2020-02-26,1,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
223,Algeria,2020-02-27,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
224,Algeria,2020-02-28,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
225,Algeria,2020-02-29,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
226,Algeria,2020-03-01,2,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
227,Algeria,2020-03-02,0,0,0,43851043,17.348,29.1,6.211,3.857,0.7,30.4,13913.839,83.741,1.9
